question_id,prompt_strategy,model,model_answer,raw_response,response_time,tokens_used,timestamp,correct_answer,score,result_id
MIR-2024-v01-t01-Q064,Prompt-001,o3-mini-2025-01-31,A,A,8.097695350646973,215,2025-03-17T22:46:49.511175,0,-1,MIR-2024-v01-t01-Q064-RespA-Correct0-Score-1
MIR-2024-v01-t01-Q065,Prompt-001,o3-mini-2025-01-31,D,D,3.946392059326172,306,2025-03-17T22:46:53.958513,D,3,MIR-2024-v01-t01-Q065-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q066,Prompt-001,o3-mini-2025-01-31,C,C,3.3884658813476562,227,2025-03-17T22:46:57.847953,C,3,MIR-2024-v01-t01-Q066-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q067,Prompt-001,o3-mini-2025-01-31,B,B,3.309211015701294,351,2025-03-17T22:47:01.658136,B,3,MIR-2024-v01-t01-Q067-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q068,Prompt-001,o3-mini-2025-01-31,B,B,4.1439313888549805,185,2025-03-17T22:47:06.303071,0,-1,MIR-2024-v01-t01-Q068-RespB-Correct0-Score-1
MIR-2024-v01-t01-Q069,Prompt-001,o3-mini-2025-01-31,A,A,1.9819445610046387,189,2025-03-17T22:47:08.786043,A,3,MIR-2024-v01-t01-Q069-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q070,Prompt-001,o3-mini-2025-01-31,B,B,1.8112263679504395,241,2025-03-17T22:47:11.098250,B,3,MIR-2024-v01-t01-Q070-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q071,Prompt-001,o3-mini-2025-01-31,C,C,5.977165222167969,273,2025-03-17T22:47:17.576489,B,-1,MIR-2024-v01-t01-Q071-RespC-CorrectB-Score-1
MIR-2024-v01-t01-Q072,Prompt-001,o3-mini-2025-01-31,C,C,5.176848888397217,247,2025-03-17T22:47:23.254427,D,-1,MIR-2024-v01-t01-Q072-RespC-CorrectD-Score-1
MIR-2024-v01-t01-Q073,Prompt-001,o3-mini-2025-01-31,B,B,3.8747940063476562,211,2025-03-17T22:47:27.630161,B,3,MIR-2024-v01-t01-Q073-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q074,Prompt-001,o3-mini-2025-01-31,C,C,17.143537521362305,227,2025-03-17T22:47:45.274669,C,3,MIR-2024-v01-t01-Q074-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q075,Prompt-001,o3-mini-2025-01-31,B,B,3.75715708732605,231,2025-03-17T22:47:49.532887,B,3,MIR-2024-v01-t01-Q075-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q076,Prompt-001,o3-mini-2025-01-31,A,A,2.465517044067383,210,2025-03-17T22:47:52.499328,A,3,MIR-2024-v01-t01-Q076-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q077,Prompt-001,o3-mini-2025-01-31,D,D,3.1698763370513916,183,2025-03-17T22:47:56.170158,D,3,MIR-2024-v01-t01-Q077-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q078,Prompt-001,o3-mini-2025-01-31,C,C,6.016026973724365,188,2025-03-17T22:48:02.687157,C,3,MIR-2024-v01-t01-Q078-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q079,Prompt-001,o3-mini-2025-01-31,B,B,5.146302700042725,149,2025-03-17T22:48:08.334401,B,3,MIR-2024-v01-t01-Q079-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q080,Prompt-001,o3-mini-2025-01-31,A,A,1.8186664581298828,244,2025-03-17T22:48:10.654028,A,3,MIR-2024-v01-t01-Q080-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q081,Prompt-001,o3-mini-2025-01-31,C,C,3.852783679962158,171,2025-03-17T22:48:15.007781,C,3,MIR-2024-v01-t01-Q081-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q082,Prompt-001,o3-mini-2025-01-31,B,B,6.5600903034210205,195,2025-03-17T22:48:22.068829,C,-1,MIR-2024-v01-t01-Q082-RespB-CorrectC-Score-1
MIR-2024-v01-t01-Q083,Prompt-001,o3-mini-2025-01-31,B,B,2.847447395324707,201,2025-03-17T22:48:25.417148,B,3,MIR-2024-v01-t01-Q083-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q084,Prompt-001,o3-mini-2025-01-31,C,C,1.386786937713623,341,2025-03-17T22:48:27.304914,C,3,MIR-2024-v01-t01-Q084-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q087,Prompt-001,o3-mini-2025-01-31,B,B,3.6321518421173096,176,2025-03-17T22:48:31.437932,B,3,MIR-2024-v01-t01-Q087-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q088,Prompt-001,o3-mini-2025-01-31,D,D,6.595073938369751,165,2025-03-17T22:48:38.534114,D,3,MIR-2024-v01-t01-Q088-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q089,Prompt-001,o3-mini-2025-01-31,B,B,2.7872726917266846,274,2025-03-17T22:48:41.822551,B,3,MIR-2024-v01-t01-Q089-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q090,Prompt-001,o3-mini-2025-01-31,A,A,3.3142945766448975,227,2025-03-17T22:48:45.637970,A,3,MIR-2024-v01-t01-Q090-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q091,Prompt-001,o3-mini-2025-01-31,D,D,1.7943618297576904,206,2025-03-17T22:48:47.933298,D,3,MIR-2024-v01-t01-Q091-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q092,Prompt-001,o3-mini-2025-01-31,A,A,2.575272560119629,165,2025-03-17T22:48:51.009488,A,3,MIR-2024-v01-t01-Q092-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q093,Prompt-001,o3-mini-2025-01-31,C,C,4.38341498374939,209,2025-03-17T22:48:55.893864,C,3,MIR-2024-v01-t01-Q093-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q094,Prompt-001,o3-mini-2025-01-31,B,B,10.124757766723633,252,2025-03-17T22:49:06.519483,B,3,MIR-2024-v01-t01-Q094-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q095,Prompt-001,o3-mini-2025-01-31,D,D,3.264492988586426,211,2025-03-17T22:49:10.284899,D,3,MIR-2024-v01-t01-Q095-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q096,Prompt-001,o3-mini-2025-01-31,B,B,3.134552240371704,140,2025-03-17T22:49:13.920364,B,3,MIR-2024-v01-t01-Q096-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q097,Prompt-001,o3-mini-2025-01-31,B,B,2.1485888957977295,208,2025-03-17T22:49:16.569905,B,3,MIR-2024-v01-t01-Q097-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q098,Prompt-001,o3-mini-2025-01-31,D,D,3.311357021331787,248,2025-03-17T22:49:20.382150,B,-1,MIR-2024-v01-t01-Q098-RespD-CorrectB-Score-1
MIR-2024-v01-t01-Q099,Prompt-001,o3-mini-2025-01-31,A,A,2.660675048828125,254,2025-03-17T22:49:23.543759,A,3,MIR-2024-v01-t01-Q099-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q100,Prompt-001,o3-mini-2025-01-31,B,B,6.053804397583008,254,2025-03-17T22:49:30.098476,B,3,MIR-2024-v01-t01-Q100-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q101,Prompt-001,o3-mini-2025-01-31,A,A,1.8489723205566406,232,2025-03-17T22:49:32.448325,A,3,MIR-2024-v01-t01-Q101-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q102,Prompt-001,o3-mini-2025-01-31,D,D,2.560093402862549,222,2025-03-17T22:49:35.509361,D,3,MIR-2024-v01-t01-Q102-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q103,Prompt-001,o3-mini-2025-01-31,B,B,2.1672279834747314,213,2025-03-17T22:49:38.177546,B,3,MIR-2024-v01-t01-Q103-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q106,Prompt-001,o3-mini-2025-01-31,B,B,4.588615417480469,228,2025-03-17T22:49:43.267069,C,-1,MIR-2024-v01-t01-Q106-RespB-CorrectC-Score-1
MIR-2024-v01-t01-Q107,Prompt-001,o3-mini-2025-01-31,C,C,1.9624457359313965,262,2025-03-17T22:49:45.730466,C,3,MIR-2024-v01-t01-Q107-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q108,Prompt-001,o3-mini-2025-01-31,B,B,2.0627517700195312,245,2025-03-17T22:49:48.294191,B,3,MIR-2024-v01-t01-Q108-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q109,Prompt-001,o3-mini-2025-01-31,D,D,6.807043790817261,205,2025-03-17T22:49:55.602217,D,3,MIR-2024-v01-t01-Q109-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q112,Prompt-001,o3-mini-2025-01-31,C,C,2.7965025901794434,189,2025-03-17T22:49:58.899604,C,3,MIR-2024-v01-t01-Q112-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q113,Prompt-001,o3-mini-2025-01-31,D,D,3.5076022148132324,193,2025-03-17T22:50:02.908142,0,-1,MIR-2024-v01-t01-Q113-RespD-Correct0-Score-1
MIR-2024-v01-t01-Q114,Prompt-001,o3-mini-2025-01-31,D,D,4.43788480758667,241,2025-03-17T22:50:07.846986,D,3,MIR-2024-v01-t01-Q114-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q115,Prompt-001,o3-mini-2025-01-31,D,D,4.169591188430786,287,2025-03-17T22:50:12.517524,D,3,MIR-2024-v01-t01-Q115-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q116,Prompt-001,o3-mini-2025-01-31,D,D,7.94751238822937,184,2025-03-17T22:50:20.965994,A,-1,MIR-2024-v01-t01-Q116-RespD-CorrectA-Score-1
MIR-2024-v01-t01-Q117,Prompt-001,o3-mini-2025-01-31,D,D,2.749638080596924,308,2025-03-17T22:50:24.216578,D,3,MIR-2024-v01-t01-Q117-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q118,Prompt-001,o3-mini-2025-01-31,D,D,2.687971830368042,176,2025-03-17T22:50:27.405601,D,3,MIR-2024-v01-t01-Q118-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q119,Prompt-001,o3-mini-2025-01-31,A,A,3.2923834323883057,178,2025-03-17T22:50:31.198916,A,3,MIR-2024-v01-t01-Q119-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q120,Prompt-001,o3-mini-2025-01-31,C,C,1.964282751083374,196,2025-03-17T22:50:33.664099,C,3,MIR-2024-v01-t01-Q120-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q121,Prompt-001,o3-mini-2025-01-31,A,A,3.238413095474243,275,2025-03-17T22:50:37.403479,A,3,MIR-2024-v01-t01-Q121-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q122,Prompt-001,o3-mini-2025-01-31,B,B,2.8334548473358154,244,2025-03-17T22:50:40.737891,B,3,MIR-2024-v01-t01-Q122-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q123,Prompt-001,o3-mini-2025-01-31,D,D,5.824628591537476,279,2025-03-17T22:50:47.063429,D,3,MIR-2024-v01-t01-Q123-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q124,Prompt-001,o3-mini-2025-01-31,D,D,2.87799334526062,202,2025-03-17T22:50:50.442576,D,3,MIR-2024-v01-t01-Q124-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q125,Prompt-001,o3-mini-2025-01-31,B,B,10.512630462646484,249,2025-03-17T22:51:01.456244,B,3,MIR-2024-v01-t01-Q125-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q126,Prompt-001,o3-mini-2025-01-31,D,D,2.2846176624298096,146,2025-03-17T22:51:04.241860,D,3,MIR-2024-v01-t01-Q126-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q127,Prompt-001,o3-mini-2025-01-31,A,A,2.7103705406188965,241,2025-03-17T22:51:07.453152,A,3,MIR-2024-v01-t01-Q127-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q128,Prompt-001,o3-mini-2025-01-31,B,B,2.876039743423462,279,2025-03-17T22:51:10.830215,B,3,MIR-2024-v01-t01-Q128-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q129,Prompt-001,o3-mini-2025-01-31,D,D,5.669228792190552,141,2025-03-17T22:51:17.000363,D,3,MIR-2024-v01-t01-Q129-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q130,Prompt-001,o3-mini-2025-01-31,C,C,1.9885382652282715,202,2025-03-17T22:51:19.489858,C,3,MIR-2024-v01-t01-Q130-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q131,Prompt-001,o3-mini-2025-01-31,C,C,7.4623939990997314,275,2025-03-17T22:51:27.453238,C,3,MIR-2024-v01-t01-Q131-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q132,Prompt-001,o3-mini-2025-01-31,D,D,4.416168451309204,235,2025-03-17T22:51:32.370358,D,3,MIR-2024-v01-t01-Q132-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q133,Prompt-001,o3-mini-2025-01-31,B,B,2.416215658187866,208,2025-03-17T22:51:35.287503,A,-1,MIR-2024-v01-t01-Q133-RespB-CorrectA-Score-1
MIR-2024-v01-t01-Q134,Prompt-001,o3-mini-2025-01-31,C,C,5.508647680282593,171,2025-03-17T22:51:41.297109,C,3,MIR-2024-v01-t01-Q134-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q135,Prompt-001,o3-mini-2025-01-31,A,A,3.904494047164917,260,2025-03-17T22:51:45.702617,A,3,MIR-2024-v01-t01-Q135-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q138,Prompt-001,o3-mini-2025-01-31,C,C,2.9949915409088135,185,2025-03-17T22:51:49.198574,C,3,MIR-2024-v01-t01-Q138-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q139,Prompt-001,o3-mini-2025-01-31,A,A,3.728308916091919,196,2025-03-17T22:51:53.427901,A,3,MIR-2024-v01-t01-Q139-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q140,Prompt-001,o3-mini-2025-01-31,C,C,3.615966796875,156,2025-03-17T22:51:57.544747,C,3,MIR-2024-v01-t01-Q140-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q141,Prompt-001,o3-mini-2025-01-31,B,B,2.7375996112823486,145,2025-03-17T22:52:00.783307,B,3,MIR-2024-v01-t01-Q141-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q142,Prompt-001,o3-mini-2025-01-31,C,C,2.2016255855560303,189,2025-03-17T22:52:03.485934,C,3,MIR-2024-v01-t01-Q142-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q143,Prompt-001,o3-mini-2025-01-31,A,A,3.5416486263275146,219,2025-03-17T22:52:07.528490,A,3,MIR-2024-v01-t01-Q143-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q145,Prompt-001,o3-mini-2025-01-31,C,C,4.06583571434021,299,2025-03-17T22:52:12.095252,C,3,MIR-2024-v01-t01-Q145-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q146,Prompt-001,o3-mini-2025-01-31,INVALID,,7.093615531921387,182,2025-03-17T22:52:19.689881,C,0,MIR-2024-v01-t01-Q146-RespINVALID-CorrectC-Score+0
MIR-2024-v01-t01-Q147,Prompt-001,o3-mini-2025-01-31,C,C,2.2497951984405518,209,2025-03-17T22:52:22.440583,C,3,MIR-2024-v01-t01-Q147-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q148,Prompt-001,o3-mini-2025-01-31,A,A,2.7765069007873535,300,2025-03-17T22:52:25.718083,A,3,MIR-2024-v01-t01-Q148-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q149,Prompt-001,o3-mini-2025-01-31,C,C,4.5858776569366455,201,2025-03-17T22:52:30.804943,C,3,MIR-2024-v01-t01-Q149-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q150,Prompt-001,o3-mini-2025-01-31,D,D,2.71043062210083,182,2025-03-17T22:52:34.016303,D,3,MIR-2024-v01-t01-Q150-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q151,Prompt-001,o3-mini-2025-01-31,A,A,1.5389845371246338,148,2025-03-17T22:52:36.056169,A,3,MIR-2024-v01-t01-Q151-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q152,Prompt-001,o3-mini-2025-01-31,A,A,1.8085503578186035,235,2025-03-17T22:52:38.365620,A,3,MIR-2024-v01-t01-Q152-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q153,Prompt-001,o3-mini-2025-01-31,INVALID,,6.616697549819946,165,2025-03-17T22:52:45.483273,C,0,MIR-2024-v01-t01-Q153-RespINVALID-CorrectC-Score+0
MIR-2024-v01-t01-Q154,Prompt-001,o3-mini-2025-01-31,B,B,3.024071216583252,183,2025-03-17T22:52:49.008294,B,3,MIR-2024-v01-t01-Q154-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q155,Prompt-001,o3-mini-2025-01-31,D,D,1.3203060626983643,174,2025-03-17T22:52:50.829652,D,3,MIR-2024-v01-t01-Q155-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q156,Prompt-001,o3-mini-2025-01-31,C,C,2.832357168197632,263,2025-03-17T22:52:54.162976,C,3,MIR-2024-v01-t01-Q156-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q157,Prompt-001,o3-mini-2025-01-31,C,C,2.537109613418579,153,2025-03-17T22:52:57.200989,C,3,MIR-2024-v01-t01-Q157-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q158,Prompt-001,o3-mini-2025-01-31,D,D,3.092686176300049,159,2025-03-17T22:53:00.794599,D,3,MIR-2024-v01-t01-Q158-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q159,Prompt-001,o3-mini-2025-01-31,D,D,3.1392459869384766,269,2025-03-17T22:53:04.434743,D,3,MIR-2024-v01-t01-Q159-RespD-CorrectD-Score+3
MIR-2024-v01-t01-Q160,Prompt-001,o3-mini-2025-01-31,B,B,7.3160240650177,284,2025-03-17T22:53:12.251672,B,3,MIR-2024-v01-t01-Q160-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q161,Prompt-001,o3-mini-2025-01-31,B,B,2.600961923599243,213,2025-03-17T22:53:15.353570,B,3,MIR-2024-v01-t01-Q161-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q162,Prompt-001,o3-mini-2025-01-31,B,B,3.6940298080444336,178,2025-03-17T22:53:19.548535,B,3,MIR-2024-v01-t01-Q162-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q163,Prompt-001,o3-mini-2025-01-31,B,B,1.4585840702056885,202,2025-03-17T22:53:21.508052,B,3,MIR-2024-v01-t01-Q163-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q164,Prompt-001,o3-mini-2025-01-31,B,B,2.7498486042022705,145,2025-03-17T22:53:24.758793,B,3,MIR-2024-v01-t01-Q164-RespB-CorrectB-Score+3
MIR-2024-v01-t01-Q165,Prompt-001,o3-mini-2025-01-31,A,A,2.1897597312927246,231,2025-03-17T22:53:27.449426,A,3,MIR-2024-v01-t01-Q165-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q166,Prompt-001,o3-mini-2025-01-31,C,C,3.146174192428589,188,2025-03-17T22:53:31.096466,C,3,MIR-2024-v01-t01-Q166-RespC-CorrectC-Score+3
MIR-2024-v01-t01-Q167,Prompt-001,o3-mini-2025-01-31,A,A,7.472222805023193,204,2025-03-17T22:53:39.069605,A,3,MIR-2024-v01-t01-Q167-RespA-CorrectA-Score+3
MIR-2024-v01-t01-Q168,Prompt-001,o3-mini-2025-01-31,B,B,3.4766054153442383,197,2025-03-17T22:53:43.047177,B,3,MIR-2024-v01-t01-Q168-RespB-CorrectB-Score+3
