question_id,prompt_strategy,model,model_answer,raw_response,response_time,tokens_used,timestamp,correct_answer,score,result_id,question_text,prompt,full_model_output
MIR-2024-v01-t01-Q035,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.1129465103149414,200,2025-03-26T22:39:52.457043,B,3,MIR-2024-v01-t01-Q035-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q036,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.515181064605713,196,2025-03-26T22:39:54.473164,D,3,MIR-2024-v01-t01-Q036-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q037,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.4293670654296875,230,2025-03-26T22:39:56.403444,C,-1,MIR-2024-v01-t01-Q037-RespD-CorrectC-Score-1,,,
MIR-2024-v01-t01-Q038,Prompt-001,claude-3-7-sonnet-20250219,C,C,0.9934334754943848,261,2025-03-26T22:39:57.897830,C,3,MIR-2024-v01-t01-Q038-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q039,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.0432369709014893,280,2025-03-26T22:39:59.442043,D,3,MIR-2024-v01-t01-Q039-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q040,Prompt-001,claude-3-7-sonnet-20250219,A,A,0.5888469219207764,143,2025-03-26T22:40:00.531791,A,3,MIR-2024-v01-t01-Q040-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q041,Prompt-001,claude-3-7-sonnet-20250219,B,B,0.9093563556671143,209,2025-03-26T22:40:01.942111,D,-1,MIR-2024-v01-t01-Q041-RespB-CorrectD-Score-1,,,
MIR-2024-v01-t01-Q042,Prompt-001,claude-3-7-sonnet-20250219,C,C,2.1099486351013184,174,2025-03-26T22:40:04.553008,C,3,MIR-2024-v01-t01-Q042-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q043,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.1203296184539795,208,2025-03-26T22:40:06.174269,B,-1,MIR-2024-v01-t01-Q043-RespC-CorrectB-Score-1,,,
MIR-2024-v01-t01-Q044,Prompt-001,claude-3-7-sonnet-20250219,D,D,0.8498866558074951,243,2025-03-26T22:40:07.525236,D,3,MIR-2024-v01-t01-Q044-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q045,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.0236504077911377,237,2025-03-26T22:40:09.049816,D,-1,MIR-2024-v01-t01-Q045-RespA-CorrectD-Score-1,,,
MIR-2024-v01-t01-Q046,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.2159762382507324,247,2025-03-26T22:40:10.766723,A,3,MIR-2024-v01-t01-Q046-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q047,Prompt-001,claude-3-7-sonnet-20250219,A,A,0.6420443058013916,139,2025-03-26T22:40:11.909714,A,3,MIR-2024-v01-t01-Q047-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q048,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.1345555782318115,184,2025-03-26T22:40:13.545261,A,3,MIR-2024-v01-t01-Q048-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q049,Prompt-001,claude-3-7-sonnet-20250219,D,D,0.8518195152282715,209,2025-03-26T22:40:14.898094,D,3,MIR-2024-v01-t01-Q049-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q050,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.3475873470306396,195,2025-03-26T22:40:16.746595,B,3,MIR-2024-v01-t01-Q050-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q051,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.9220266342163086,193,2025-03-26T22:40:19.169498,C,3,MIR-2024-v01-t01-Q051-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q052,Prompt-001,claude-3-7-sonnet-20250219,B,B,0.8714370727539062,221,2025-03-26T22:40:20.541897,B,3,MIR-2024-v01-t01-Q052-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q053,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.4227001667022705,213,2025-03-26T22:40:22.465482,D,3,MIR-2024-v01-t01-Q053-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q054,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.1985619068145752,289,2025-03-26T22:40:24.164975,B,3,MIR-2024-v01-t01-Q054-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q055,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.709031105041504,331,2025-03-26T22:40:26.375019,A,3,MIR-2024-v01-t01-Q055-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q057,Prompt-001,claude-3-7-sonnet-20250219,C,C,0.9786050319671631,279,2025-03-26T22:40:27.854648,C,3,MIR-2024-v01-t01-Q057-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q058,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.206850528717041,213,2025-03-26T22:40:29.562472,B,3,MIR-2024-v01-t01-Q058-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q059,Prompt-001,claude-3-7-sonnet-20250219,D,D,0.9934134483337402,158,2025-03-26T22:40:31.056768,D,3,MIR-2024-v01-t01-Q059-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q060,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.2827303409576416,256,2025-03-26T22:40:32.840378,A,3,MIR-2024-v01-t01-Q060-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q061,Prompt-001,claude-3-7-sonnet-20250219,A,A,0.9047591686248779,235,2025-03-26T22:40:34.246097,A,3,MIR-2024-v01-t01-Q061-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q062,Prompt-001,claude-3-7-sonnet-20250219,D,D,0.5971338748931885,148,2025-03-26T22:40:35.344197,D,3,MIR-2024-v01-t01-Q062-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q063,Prompt-001,claude-3-7-sonnet-20250219,B,B,0.7525951862335205,167,2025-03-26T22:40:36.597738,B,3,MIR-2024-v01-t01-Q063-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q064,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.210355520248413,221,2025-03-26T22:40:38.309043,D,3,MIR-2024-v01-t01-Q064-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q065,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.1825356483459473,252,2025-03-26T22:40:39.992588,A,3,MIR-2024-v01-t01-Q065-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q066,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.2827143669128418,197,2025-03-26T22:40:41.776281,A,3,MIR-2024-v01-t01-Q066-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q067,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.3049046993255615,245,2025-03-26T22:40:43.582133,B,3,MIR-2024-v01-t01-Q067-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q068,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.236417293548584,330,2025-03-26T22:40:45.319493,B,-1,MIR-2024-v01-t01-Q068-RespA-CorrectB-Score-1,,,
MIR-2024-v01-t01-Q069,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.117933988571167,230,2025-03-26T22:40:46.938331,B,-1,MIR-2024-v01-t01-Q069-RespA-CorrectB-Score-1,,,
MIR-2024-v01-t01-Q070,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.0910027027130127,208,2025-03-26T22:40:48.530247,A,3,MIR-2024-v01-t01-Q070-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q071,Prompt-001,claude-3-7-sonnet-20250219,D,D,0.702322244644165,167,2025-03-26T22:40:49.733618,D,3,MIR-2024-v01-t01-Q071-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q072,Prompt-001,claude-3-7-sonnet-20250219,A,A,0.9457011222839355,189,2025-03-26T22:40:51.180238,A,3,MIR-2024-v01-t01-Q072-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q073,Prompt-001,claude-3-7-sonnet-20250219,D,D,0.587975025177002,141,2025-03-26T22:40:52.269151,D,3,MIR-2024-v01-t01-Q073-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q074,Prompt-001,claude-3-7-sonnet-20250219,C,C,0.7862133979797363,146,2025-03-26T22:40:53.556338,C,3,MIR-2024-v01-t01-Q074-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q075,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.3584439754486084,222,2025-03-26T22:40:55.415737,A,3,MIR-2024-v01-t01-Q075-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q076,Prompt-001,claude-3-7-sonnet-20250219,B,B,0.9517457485198975,209,2025-03-26T22:40:56.868526,B,3,MIR-2024-v01-t01-Q076-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q077,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.013648509979248,195,2025-03-26T22:40:58.383154,B,3,MIR-2024-v01-t01-Q077-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q078,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.0925946235656738,235,2025-03-26T22:40:59.976792,B,3,MIR-2024-v01-t01-Q078-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q079,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.100024700164795,237,2025-03-26T22:41:01.577830,C,3,MIR-2024-v01-t01-Q079-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q080,Prompt-001,claude-3-7-sonnet-20250219,C,C,2.2691102027893066,230,2025-03-26T22:41:04.347962,C,3,MIR-2024-v01-t01-Q080-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q081,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.2841665744781494,280,2025-03-26T22:41:06.133110,C,3,MIR-2024-v01-t01-Q081-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q082,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.0927834510803223,266,2025-03-26T22:41:07.726848,D,3,MIR-2024-v01-t01-Q082-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q083,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.206315040588379,237,2025-03-26T22:41:09.434202,B,3,MIR-2024-v01-t01-Q083-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q084,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.1302127838134766,261,2025-03-26T22:41:11.065370,D,-1,MIR-2024-v01-t01-Q084-RespA-CorrectD-Score-1,,,
MIR-2024-v01-t01-Q085,Prompt-001,claude-3-7-sonnet-20250219,C,C,0.9792807102203369,204,2025-03-26T22:41:12.545592,C,3,MIR-2024-v01-t01-Q085-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q086,Prompt-001,claude-3-7-sonnet-20250219,C,C,0.5957064628601074,169,2025-03-26T22:41:13.642247,C,3,MIR-2024-v01-t01-Q086-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q087,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.2540132999420166,215,2025-03-26T22:41:15.397192,A,3,MIR-2024-v01-t01-Q087-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q088,Prompt-001,claude-3-7-sonnet-20250219,D,D,0.864372730255127,319,2025-03-26T22:41:16.762543,D,3,MIR-2024-v01-t01-Q088-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q089,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.7696177959442139,253,2025-03-26T22:41:19.033073,B,3,MIR-2024-v01-t01-Q089-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q090,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.5419530868530273,254,2025-03-26T22:41:21.075973,A,3,MIR-2024-v01-t01-Q090-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q091,Prompt-001,claude-3-7-sonnet-20250219,B,B,0.9537525177001953,200,2025-03-26T22:41:22.530676,B,3,MIR-2024-v01-t01-Q091-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q092,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.1765391826629639,182,2025-03-26T22:41:24.208148,C,3,MIR-2024-v01-t01-Q092-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q093,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.7224681377410889,248,2025-03-26T22:41:26.431808,B,3,MIR-2024-v01-t01-Q093-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q094,Prompt-001,claude-3-7-sonnet-20250219,C,C,0.9015531539916992,230,2025-03-26T22:41:27.834302,C,3,MIR-2024-v01-t01-Q094-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q095,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.4436817169189453,227,2025-03-26T22:41:29.778918,A,3,MIR-2024-v01-t01-Q095-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q096,Prompt-001,claude-3-7-sonnet-20250219,C,C,0.676504373550415,149,2025-03-26T22:41:30.956452,C,3,MIR-2024-v01-t01-Q096-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q097,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.065577745437622,166,2025-03-26T22:41:32.522978,D,3,MIR-2024-v01-t01-Q097-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q098,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.263782262802124,214,2025-03-26T22:41:34.287714,C,3,MIR-2024-v01-t01-Q098-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q099,Prompt-001,claude-3-7-sonnet-20250219,A,A,0.8563146591186523,208,2025-03-26T22:41:35.645056,A,3,MIR-2024-v01-t01-Q099-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q100,Prompt-001,claude-3-7-sonnet-20250219,C,C,0.9661295413970947,218,2025-03-26T22:41:37.112252,C,3,MIR-2024-v01-t01-Q100-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q101,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.0861265659332275,149,2025-03-26T22:41:38.699408,B,3,MIR-2024-v01-t01-Q101-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q102,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.2307236194610596,189,2025-03-26T22:41:40.431115,D,3,MIR-2024-v01-t01-Q102-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q103,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.3901126384735107,260,2025-03-26T22:41:42.322096,A,3,MIR-2024-v01-t01-Q103-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q104,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.0855660438537598,263,2025-03-26T22:41:43.908613,C,3,MIR-2024-v01-t01-Q104-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q105,Prompt-001,claude-3-7-sonnet-20250219,A,A,0.9240267276763916,227,2025-03-26T22:41:45.333623,A,3,MIR-2024-v01-t01-Q105-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q106,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.282679796218872,196,2025-03-26T22:41:47.117395,C,3,MIR-2024-v01-t01-Q106-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q107,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.3267340660095215,171,2025-03-26T22:41:48.945056,B,3,MIR-2024-v01-t01-Q107-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q108,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.2060754299163818,236,2025-03-26T22:41:50.652076,D,3,MIR-2024-v01-t01-Q108-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q109,Prompt-001,claude-3-7-sonnet-20250219,B,B,0.6453955173492432,141,2025-03-26T22:41:51.798436,B,3,MIR-2024-v01-t01-Q109-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q110,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.272219181060791,170,2025-03-26T22:41:53.571596,C,3,MIR-2024-v01-t01-Q110-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q111,Prompt-001,claude-3-7-sonnet-20250219,A,A,0.9664936065673828,175,2025-03-26T22:41:55.039020,A,3,MIR-2024-v01-t01-Q111-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q112,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.4033863544464111,299,2025-03-26T22:41:56.943398,C,3,MIR-2024-v01-t01-Q112-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q113,Prompt-001,claude-3-7-sonnet-20250219,B,B,2.0438899993896484,279,2025-03-26T22:41:59.488437,B,3,MIR-2024-v01-t01-Q113-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q114,Prompt-001,claude-3-7-sonnet-20250219,D,D,0.7050042152404785,149,2025-03-26T22:42:00.694396,D,3,MIR-2024-v01-t01-Q114-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q115,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.1002559661865234,358,2025-03-26T22:42:02.295621,D,3,MIR-2024-v01-t01-Q115-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q116,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.0554430484771729,169,2025-03-26T22:42:03.852014,C,3,MIR-2024-v01-t01-Q116-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q117,Prompt-001,claude-3-7-sonnet-20250219,A,A,0.9632580280303955,153,2025-03-26T22:42:05.316209,A,3,MIR-2024-v01-t01-Q117-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q118,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.1669275760650635,202,2025-03-26T22:42:06.984117,D,3,MIR-2024-v01-t01-Q118-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q119,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.3769941329956055,263,2025-03-26T22:42:08.862063,C,3,MIR-2024-v01-t01-Q119-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q120,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.2096867561340332,166,2025-03-26T22:42:10.572922,B,3,MIR-2024-v01-t01-Q120-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q121,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.8064615726470947,215,2025-03-26T22:42:12.880347,D,3,MIR-2024-v01-t01-Q121-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q122,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.2346086502075195,224,2025-03-26T22:42:14.615808,C,3,MIR-2024-v01-t01-Q122-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q123,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.1143715381622314,205,2025-03-26T22:42:16.231163,C,3,MIR-2024-v01-t01-Q123-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q124,Prompt-001,claude-3-7-sonnet-20250219,C,C,0.9202382564544678,353,2025-03-26T22:42:17.652395,C,3,MIR-2024-v01-t01-Q124-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q125,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.371300458908081,180,2025-03-26T22:42:19.524661,D,3,MIR-2024-v01-t01-Q125-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q126,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.1019706726074219,235,2025-03-26T22:42:21.127504,D,3,MIR-2024-v01-t01-Q126-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q127,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.1047749519348145,165,2025-03-26T22:42:22.733245,B,3,MIR-2024-v01-t01-Q127-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q128,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.0003764629364014,331,2025-03-26T22:42:24.234516,D,3,MIR-2024-v01-t01-Q128-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q129,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.2143025398254395,205,2025-03-26T22:42:25.949744,A,3,MIR-2024-v01-t01-Q129-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q130,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.0784504413604736,183,2025-03-26T22:42:27.529124,D,3,MIR-2024-v01-t01-Q130-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q131,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.2805061340332031,348,2025-03-26T22:42:29.310549,D,3,MIR-2024-v01-t01-Q131-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q132,Prompt-001,claude-3-7-sonnet-20250219,A,A,0.8376424312591553,200,2025-03-26T22:42:30.649176,A,3,MIR-2024-v01-t01-Q132-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q133,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.0406708717346191,340,2025-03-26T22:42:32.190879,B,3,MIR-2024-v01-t01-Q133-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q134,Prompt-001,claude-3-7-sonnet-20250219,C,C,19.3799786567688,287,2025-03-26T22:42:52.071956,C,3,MIR-2024-v01-t01-Q134-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q135,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.0423147678375244,271,2025-03-26T22:42:53.615229,B,3,MIR-2024-v01-t01-Q135-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q136,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.787546157836914,345,2025-03-26T22:42:55.903740,C,3,MIR-2024-v01-t01-Q136-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q137,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.4325110912322998,263,2025-03-26T22:42:57.837136,A,-1,MIR-2024-v01-t01-Q137-RespC-CorrectA-Score-1,,,
MIR-2024-v01-t01-Q138,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.1998741626739502,340,2025-03-26T22:42:59.537951,D,3,MIR-2024-v01-t01-Q138-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q139,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.4511408805847168,185,2025-03-26T22:43:01.490034,D,3,MIR-2024-v01-t01-Q139-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q140,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.4099836349487305,196,2025-03-26T22:43:03.400979,B,3,MIR-2024-v01-t01-Q140-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q141,Prompt-001,claude-3-7-sonnet-20250219,A,A,0.711216926574707,137,2025-03-26T22:43:04.613096,A,3,MIR-2024-v01-t01-Q141-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q142,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.1908679008483887,295,2025-03-26T22:43:06.304933,A,3,MIR-2024-v01-t01-Q142-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q143,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.8049402236938477,162,2025-03-26T22:43:08.610798,B,3,MIR-2024-v01-t01-Q143-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q144,Prompt-001,claude-3-7-sonnet-20250219,B,B,1.0772778987884521,314,2025-03-26T22:43:10.189207,B,3,MIR-2024-v01-t01-Q144-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q145,Prompt-001,claude-3-7-sonnet-20250219,D,D,1.2248916625976562,169,2025-03-26T22:43:11.915102,D,3,MIR-2024-v01-t01-Q145-RespD-CorrectD-Score+3,,,
MIR-2024-v01-t01-Q146,Prompt-001,claude-3-7-sonnet-20250219,C,C,1.14601469039917,218,2025-03-26T22:43:13.562020,C,3,MIR-2024-v01-t01-Q146-RespC-CorrectC-Score+3,,,
MIR-2024-v01-t01-Q147,Prompt-001,claude-3-7-sonnet-20250219,B,B,0.6079206466674805,158,2025-03-26T22:43:14.671087,B,3,MIR-2024-v01-t01-Q147-RespB-CorrectB-Score+3,,,
MIR-2024-v01-t01-Q148,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.0539634227752686,308,2025-03-26T22:43:16.226022,A,3,MIR-2024-v01-t01-Q148-RespA-CorrectA-Score+3,,,
MIR-2024-v01-t01-Q149,Prompt-001,claude-3-7-sonnet-20250219,A,A,1.1204593181610107,208,2025-03-26T22:43:17.847424,A,3,MIR-2024-v01-t01-Q149-RespA-CorrectA-Score+3,,,
